16:26:33,076		-29117 
16:26:38,104		-29125 
16:26:43,169		-29125 
16:26:48,196		-29115 
16:26:53,193		-29114 
16:26:58,223		-29108 
16:27:03,248		-29105 
16:27:08,249		-29109 
16:27:13,289		-29109 
16:27:18,301		-29110 
16:27:23,311		-29124 
16:27:28,316		-29117 
16:27:33,343		-29112 
16:27:38,382		-29104 
16:27:43,417		-29116 
16:27:49,649		-29105 
16:27:56,215		-29116 
16:28:02,486		-29109 
16:28:08,724		-29122 
16:28:15,302		-29125 
16:28:21,557		-29111 
16:28:27,777		-29110 
16:28:34,099		-29110 
16:28:40,344		-29116 
16:28:46,609		-29110 
16:28:53,175		-29117 
16:28:59,428		-29116 
16:29:05,696		-29117 
16:29:11,964		-29119 
16:29:18,198		-29110 
16:29:22,157		-29110 
16:29:27,193		-29101 
16:29:32,216		-29111 
16:29:37,220		-29131 
16:29:42,236		-29126 
16:29:47,249		-29122 
16:29:52,254		-29115 
16:29:57,265		-29114 
16:30:02,283		-29111 
16:30:07,306		-29106 
16:30:12,296		-29104 
16:30:17,304		-29117 
16:30:22,320		-29117 
16:30:27,338		-29132 
16:30:32,354		-29121 
16:30:37,368		-29109 
16:30:43,633		-29105 
16:30:50,243		-29117 
16:30:56,512		-29109 
16:31:02,772		-29115 
16:31:09,342		-29112 
16:31:15,597		-29108 
16:31:21,864		-29127 
16:31:28,491		-29113 
16:31:34,757		-29106 
16:31:40,994		-29107 
16:31:47,269		-29118 
16:31:53,521		-29112 
16:31:59,756		-29124 
16:32:06,004		-29114 
16:32:12,240		-29114 
16:32:16,182		-29114 
16:32:21,209		-29116 
16:32:26,242		-29116 
16:32:31,275		-29105 
16:32:36,341		-29106 
16:32:41,346		-29111 
16:32:46,368		-29111 
16:32:51,388		-29118 
16:32:56,384		-29110 
16:33:01,431		-29109 
16:33:06,429		-29103 
16:33:11,434		-29110 
16:33:16,459		-29101 
16:33:21,520		-29110 
16:33:26,511		-29119 
16:33:31,524		-29119 
16:33:37,769		-29118 
16:33:44,337		-29109 
16:33:50,597		-29100 
16:33:56,851		-29109 
16:34:03,424		-29110 
16:34:09,688		-29109 
16:34:15,938		-29105 
16:34:22,539		-29102 
16:34:28,763		-29119 
16:34:35,037		-29110 
16:34:41,609		-29099 
16:34:47,902		-29093 
16:34:54,145		-29106 
16:35:00,705		-29095 
16:35:06,939		-29101 
16:35:10,894		-29101 
16:35:15,904		-29100 
16:35:20,915		-29107 
16:35:25,918		-29113 
16:35:30,942		-29097 
16:35:35,981		-29095 
16:35:41,002		-29097 
16:35:46,021		-29104 
16:35:51,019		-29087 
16:35:56,022		-29103 
16:36:01,051		-29095 
16:36:06,081		-29104 
16:36:11,096		-29100 
16:36:16,105		-29093 
16:36:21,131		-29082 
16:36:26,131		-29091 
16:36:32,389		-29101 
16:36:38,941		-29101 
16:36:45,185		-29103 
16:36:51,424		-29090 
16:36:58,002		-29091 
16:37:04,267		-29090 
16:37:10,525		-29089 
16:37:17,115		-29084 
16:37:23,381		-29090 
