11:49:56.096 2023/08/04	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
11:49:56.100 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
11:50:03.017 2023/08/04	GFOC INIT NONE, ASEL INIT NONE	
11:50:03.022 2023/08/04	WPROT SIMULATED BUSY 213.417 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
11:50:08.149 2023/08/04	WPSEL GOTO OFF	
11:50:08.249 2023/08/04	WPROT SIMULATED BUSY 59.364 NONE -1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:21:34.616 2023/08/04	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
15:21:34.750 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
15:21:39.636 2023/08/04	GFOC INIT NONE, ASEL INIT NONE	
15:21:39.641 2023/08/04	WPROT SIMULATED BUSY 122.038 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
15:21:47.823 2023/08/04	WPSEL GOTO OFF	
15:21:47.827 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:22:13.632 2023/08/04	WPSEL GOTO L/2, CALW GOTO PINHOLE, ASEL GOTO ON	
15:22:13.652 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:31:23.068 2023/08/04	GMIR GOTO 10.000000	
15:31:23.076 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 144.000 PINHOLE 3, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:50:25.319 2023/08/04	GMIR GOTO 5.000000	
15:50:25.324 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 144.000 PINHOLE 3, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 10.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:54:32.012 2023/08/04	GMIR GOTO 6.000000	
15:54:32.019 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 144.000 PINHOLE 3, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 5.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:01:52.988 2023/08/04	GMIR GOTO 0.000000	
16:01:52.997 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 144.000 PINHOLE 3, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 6.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:02:01.017 2023/08/04	GMIR GOTO 10.000000	
16:02:01.054 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 144.000 PINHOLE 3, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:07:01.170 2023/08/04	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
16:07:01.238 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:07:05.168 2023/08/04	GFOC INIT NONE, ASEL INIT NONE	
16:07:05.172 2023/08/04	WPROT SIMULATED BUSY 36.317 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
16:07:11.970 2023/08/04	WPSEL GOTO OFF	
16:07:11.998 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:08:02.412 2023/08/04	GMIR GOTO 10.000000	
16:08:02.422 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:08:17.994 2023/08/04	GMIR GOTO 7.000000	
16:08:18.000 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 10.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:14:03.966 2023/08/04	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
16:14:03.970 2023/08/04	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:14:10.514 2023/08/04	GFOC INIT NONE, ASEL INIT NONE	
16:14:10.517 2023/08/04	WPROT SIMULATED BUSY 117.935 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
16:14:17.736 2023/08/04	WPSEL GOTO OFF	
16:14:17.746 2023/08/04	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:14:34.837 2023/08/04	GMIR GOTO 7.000000	
