08:34:41,035 2024/03/28	CALW INIT NONE	
09:47:19,389 2024/03/28	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:47:37,402 2024/03/28	ASEL INIT NONE	
09:47:37,403 2024/03/28	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:47:47,889 2024/03/28	ASEL INIT NONE	
09:47:47,890 2024/03/28	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:58:59,080 2024/03/28	ASEL INIT NONE	
09:58:59,083 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:00:35,343 2024/03/28	ASEL INIT NONE	
10:00:35,345 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:01:30,792 2024/03/28	ASEL INIT NONE	
10:01:30,793 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:02:08,666 2024/03/28	ASEL INIT NONE	
10:02:08,668 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:04:49,757 2024/03/28	ASEL INIT NONE	
10:04:49,762 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:07:02,720 2024/03/28	ASEL INIT NONE	
10:07:02,723 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:09:03,226 2024/03/28	ASEL INIT NONE	
