14:38:52.245 2023/09/06	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
14:38:52.249 2023/09/06	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL NONE NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:38:58.853 2023/09/06	GFOC INIT NONE, ASEL INIT NONE	
14:38:58.856 2023/09/06	WPROT SIMULATED BUSY 82.290 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL NONE NONE 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
15:33:22.065 2023/09/06	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
15:33:22.068 2023/09/06	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:33:29.468 2023/09/06	GFOC INIT NONE, ASEL INIT NONE	
15:33:29.472 2023/09/06	WPROT SIMULATED BUSY 73.994 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
15:33:36.253 2023/09/06	WPSEL GOTO OFF	
15:33:36.256 2023/09/06	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
21:45:18.480 2023/09/06	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
21:45:18.484 2023/09/06	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED NONE 0.000 OFF 1, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED NONE 0.000 TARGET 1
	
21:45:24.453 2023/09/06	GFOC INIT NONE, ASEL INIT NONE	
21:45:24.456 2023/09/06	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
21:45:32.704 2023/09/06	WPSEL GOTO OFF	
21:45:32.707 2023/09/06	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
22:33:54.892 2023/09/06	WPSEL GOTO L/4, CALW GOTO DEPOLARIZER, ASEL GOTO ON	
22:33:54.896 2023/09/06	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
22:41:27.909 2023/09/06	WPROT GOTO WP2	
22:41:27.913 2023/09/06	WPROT SIMULATED BUSY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
22:41:33.147 2023/09/06	WPROT GOTO WP3	
