06:30:13,257 2024/03/30	WPROT INIT NONE	
06:30:13,257 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:30:23,913 2024/03/30	WPROT INIT NONE	
06:30:23,914 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:30:37,311 2024/03/30	WPROT INIT NONE	
06:30:37,312 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:30:59,866 2024/03/30	WPROT INIT NONE	
06:30:59,867 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:31:10,217 2024/03/30	WPROT INIT NONE	
06:31:10,218 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:31:32,208 2024/03/30	WPROT INIT NONE	
06:31:32,209 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:33:05,100 2024/03/30	WPROT INIT NONE	
06:33:05,101 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:33:14,894 2024/03/30	WPROT INIT NONE	
06:33:14,895 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:38:11,531 2024/03/30	WPROT INIT NONE	
06:38:11,531 2024/03/30	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:38:27,217 2024/03/30	WPROT INIT NONE	
06:38:27,218 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:39:02,388 2024/03/30	WPROT INIT NONE	
