10:28:12.599 2023/08/09	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
16:11:25.098 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:26.501 2023/08/09	GFOC GOTO 0.000000	
16:11:26.628 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:27.814 2023/08/09	GFOC GOTO 0.000000	
16:11:27.821 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:29.126 2023/08/09	GFOC GOTO 0.000000	
16:11:29.160 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:30.398 2023/08/09	GFOC GOTO 0.000000	
16:11:30.405 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:31.578 2023/08/09	GFOC GOTO 0.000000	
16:11:31.586 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
