18:11:04.234 2023/08/28	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
18:11:04.586 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 2.500 TARGET 1
	
18:12:16.123 2023/08/28	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
18:12:16.129 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 2.500 TARGET 1
	
18:15:44.450 2023/08/28	GFOC GOTO 0.000000	
18:15:44.457 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.500 TARGET 1
	
18:17:57.108 2023/08/28	GFOC GOTO 2.500000	
18:17:57.122 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
18:18:56.530 2023/08/28	WPSEL GOTO L/2, CALW GOTO DEPOLARIZER	
18:18:56.534 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 2.500 TARGET 1
	
18:19:09.830 2023/08/28	GFOC GOTO 5.500000	
18:19:09.834 2023/08/28	WPROT SIMULATED BUSY 75.304 NONE -1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.500 TARGET 1
	
18:23:07.282 2023/08/28	GFOC GOTO 1.900000	
18:23:07.368 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 5.500 TARGET 1
	
18:23:25.117 2023/08/28	GFOC GOTO 1.800000	
18:23:25.172 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 1.900 TARGET 1
	
18:24:02.123 2023/08/28	GFOC GOTO 1.900000	
18:24:02.325 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 1.800 TARGET 1
	
19:53:00.833 2023/08/28	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
19:53:00.903 2023/08/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
19:53:07.297 2023/08/28	GFOC INIT NONE, ASEL INIT NONE	
19:53:07.300 2023/08/28	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
19:53:13.573 2023/08/28	WPSEL GOTO OFF	
