11:08:53.076 2023/08/25	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
11:08:53.232 2023/08/25	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
11:08:59.988 2023/08/25	GFOC INIT NONE, ASEL INIT NONE	
11:08:59.991 2023/08/25	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
11:09:06.047 2023/08/25	WPSEL GOTO OFF	
11:09:06.051 2023/08/25	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
11:19:13.734 2023/08/25	WPSEL GOTO L/4, CALW GOTO DEPOLARIZER, ASEL GOTO ON	
11:19:13.934 2023/08/25	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
11:21:21.454 2023/08/25	GFOC GOTO 3.000000	
11:21:21.486 2023/08/25	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
11:29:07.555 2023/08/25	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
11:29:07.608 2023/08/25	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
