10:18:56.946 2023/08/10	WPSEL GOTO L/4	
11:22:04.702 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.000 TARGET 1
	
11:23:44.084 2023/08/10	WPSEL GOTO L/2	
11:23:44.090 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED READY 6.000 TARGET 1
	
11:23:57.301 2023/08/10	GFOC GOTO 3.000000	
11:23:57.494 2023/08/10	WPROT SIMULATED BUSY 200.768 NONE -1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.000 TARGET 1
	
11:24:00.092 2023/08/10	GFOC GOTO 3.000000	
11:24:00.096 2023/08/10	WPROT SIMULATED BUSY 116.571 NONE -1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 3.000 TARGET 1
	
11:24:36.491 2023/08/10	GFOC GOTO 6.500000	
11:24:36.636 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 3.000 TARGET 1
	
11:24:59.246 2023/08/10	GFOC GOTO 6.700000	
11:24:59.283 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.500 TARGET 1
	
11:25:15.735 2023/08/10	CALW GOTO POLARIZER	
11:25:15.741 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED READY 6.700 TARGET 1
	
11:25:24.141 2023/08/10	GFOC GOTO 2.000000	
11:25:24.334 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.700 TARGET 1
	
11:25:27.910 2023/08/10	GFOC GOTO 2.000000	
11:25:28.104 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 2.000 TARGET 1
	
11:26:04.275 2023/08/10	WPSEL GOTO L/4	
11:26:04.280 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED READY 2.000 TARGET 1
	
11:26:36.013 2023/08/10	GFOC GOTO 11.000000	
11:26:36.046 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 2.000 TARGET 1
	
