15:47:30.622 2023/08/17	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
15:47:30.638 2023/08/17	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
15:47:34.351 2023/08/17	GFOC INIT NONE, ASEL INIT NONE	
15:47:34.678 2023/08/17	WPROT SIMULATED BUSY 81.905 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
15:47:41.349 2023/08/17	WPSEL GOTO OFF	
15:47:41.352 2023/08/17	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:48:18.799 2023/08/17	WPSEL GOTO L/2, ASEL GOTO ON	
15:48:18.805 2023/08/17	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:49:32.341 2023/08/17	WPSEL GOTO OFF, ASEL GOTO OFF	
15:49:32.350 2023/08/17	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:57:05.190 2023/08/17	WPSEL GOTO L/2, ASEL GOTO ON	
15:57:05.200 2023/08/17	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
15:58:34.575 2023/08/17	WPSEL GOTO OFF, ASEL GOTO OFF	
15:58:34.834 2023/08/17	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:46:06.904 2023/08/17	WPSEL GOTO L/2, ASEL GOTO ON	
