09:44:16.789 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:44:16.832 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:44:20.368 2023/08/07	GMIR STOP NONE	
09:44:20.374 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:44:20.447 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:44:48.587 2023/08/07	GMIR STOP NONE	
09:44:48.593 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:44:48.636 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:44:57.597 2023/08/07	GMIR STOP NONE	
09:44:57.603 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:44:57.666 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:49:16.518 2023/08/07	GFOC GOTO 0.500000	
09:49:16.525 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.300 TARGET 1
	
09:49:24.692 2023/08/07	GFOC GOTO 0.600000	
09:49:24.698 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.500 TARGET 1
	
09:49:29.057 2023/08/07	GFOC GOTO 0.700000	
