14:05:02,416 2024/04/23	CALW INIT NONE	
14:05:02,419 2024/04/23	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:05:12,690 2024/04/23	CALW INIT NONE	
14:05:12,691 2024/04/23	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:05:54,105 2024/04/23	CALW INIT NONE	
14:05:54,107 2024/04/23	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:14:39,578 2024/04/23	WPSEL INIT NONE	
14:14:39,579 2024/04/23	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:16:49,172 2024/04/23	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
14:16:49,173 2024/04/23	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:16:55,702 2024/04/23	GFOC INIT NONE, ASEL INIT NONE	
14:16:55,703 2024/04/23	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
14:17:05,316 2024/04/23	WPSEL GOTO OFF	
14:17:05,317 2024/04/23	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
14:17:39,757 2024/04/23	WPROT INIT NONE	
14:17:39,758 2024/04/23	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
14:18:18,704 2024/04/23	WPSEL GOTO L/2	
14:18:18,705 2024/04/23	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
14:18:44,335 2024/04/23	WPSEL GOTO OFF	
14:18:44,337 2024/04/23	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
14:21:14,184 2024/04/23	WPSEL GOTO L/4, ASEL GOTO ON	
14:21:14,184 2024/04/23	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
14:21:47,144 2024/04/23	CALW GOTO POLARIZER	
14:21:47,146 2024/04/23	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
14:22:22,095 2024/04/23	GFOC GOTO 100	
